year,SSB,ice_retreat_t,late_summer_SST_t,wind_mixing_t,copepod_euphausiid_t,age0_energy_t,cold_pool_t1,age1_index_t1,adult_pollock_biomass_t1,arrowtooth_biomass_t1,juvenile_predator_overlap_t1,age3_recruitment_t3
1977,1013.52,NA,NA,NA,NA,NA,NA,NA,981.245,NA,NA,6675.35
1978,981.245,NA,NA,NA,NA,NA,NA,NA,1014.01,NA,NA,15762.3
1979,1014.01,NA,NA,NA,NA,NA,NA,NA,1069.45,NA,NA,9562.26
1980,1069.45,NA,NA,NA,NA,NA,NA,NA,1512.12,NA,NA,11916.6
1981,1512.12,NA,NA,NA,NA,NA,211325,NA,2438.89,NA,NA,6119
1982,2438.89,NA,5.592176744184138,NA,NA,NA,161775,NA,2900.41,NA,NA,12989.4
1983,2900.41,NA,8.597724911481118,NA,NA,NA,207725,NA,3311.64,NA,NA,3183.07
1984,3311.64,NA,7.264181696633837,NA,NA,NA,205000,NA,3379.42,NA,NA,6139.4
1985,3379.42,NA,6.6107463720772,NA,NA,NA,258075,NA,3534.28,NA,NA,2339.8
1986,3534.28,NA,5.719481065615541,NA,NA,NA,94750,NA,3522.38,NA,NA,1309.31
1987,3522.38,NA,6.8483119457355865,NA,NA,NA,206075,NA,3408.8,NA,NA,1051.55
1988,3408.8,NA,6.646055144864374,NA,NA,NA,106125,NA,3227.92,NA,NA,2327.13
1989,3227.92,NA,6.789657497227143,NA,NA,NA,177750,NA,2758.64,NA,NA,10024.7
1990,2758.64,NA,7.172754548351067,NA,NA,NA,174575,NA,2001.19,NA,NA,5890.66
1991,2001.19,NA,7.8549642712723795,NA,NA,NA,242175,NA,2173.22,NA,NA,6134.84
1992,2173.22,NA,6.892862372650234,NA,NA,NA,133525,NA,2646.35,NA,NA,11324.2
1993,2646.35,NA,7.144817855381327,NA,NA,NA,260150,NA,2864.94,NA,NA,3653.8
1994,2864.94,NA,5.610758796950616,NA,NA,NA,274575,NA,2952.24,NA,NA,2504.38
1995,2952.24,NA,6.092901993854106,NA,NA,NA,99425,NA,3196.11,NA,NA,5149.48
1996,3196.11,NA,6.685038173744955,NA,NA,NA,173275,NA,2803.06,NA,NA,6665.02
1997,2803.06,NA,7.902593549053938,NA,NA,NA,100700,NA,2748.84,NA,NA,3520.55
1998,2748.84,NA,7.506732864947408,NA,NA,NA,386100,NA,2657.52,NA,NA,3897.74
1999,2657.52,NA,3.8834940091665175,NA,NA,NA,237150,NA,2918.53,NA,NA,6176.37
2000,2918.53,NA,6.230082822385012,NA,NA,NA,175675,NA,2745.47,NA,NA,8303.75
2001,2745.47,NA,5.856103097169456,NA,NA,NA,101725,NA,2561.05,NA,NA,5568.07
2002,2561.05,NA,6.919027531789941,NA,824,NA,47000,NA,2759.68,NA,NA,3535.02
2003,2759.68,NA,7.833284609678405,NA,762,NA,89600,NA,2621.32,NA,NA,1546.22
2004,2621.32,NA,8.433442661410314,NA,2445,NA,85825,NA,2734.32,NA,NA,1121.36
2005,2734.32,NA,7.195340054192779,NA,1663,NA,244525,NA,2536.86,NA,NA,2635.68
2006,2536.86,NA,5.630731025848172,NA,2249,NA,281250,NA,1948.69,NA,NA,5640.68
2007,1948.69,NA,6.463889882161863,NA,3623,NA,345425,NA,1612.89,NA,NA,3363.79
2008,1612.89,NA,4.279602173080974,NA,23657,NA,320225,NA,1370.9,NA,NA,13999
2009,1370.9,NA,4.674823865107134,NA,9733,NA,269300,NA,1528.88,NA,NA,7473.74
2010,1528.88,NA,5.320836035448632,NA,12294,NA,168025,NA,1880.76,NA,NA,4369.46
2011,1880.76,NA,5.0640660893453004,NA,15393,NA,369000,NA,2432.56,NA,NA,3368.55
2012,2432.56,NA,5.051564903195648,NA,30504,NA,258575,NA,2729.34,NA,NA,10307.2
2013,2729.34,NA,6.384033209929018,NA,NA,NA,128200,NA,2260.15,NA,NA,10588.7
2014,2260.15,NA,8.211574072216163,NA,7023,NA,122750,NA,2167.31,NA,NA,5162.01
2015,2167.31,NA,7.1723686145121555,NA,2420,NA,89375,NA,2731.88,NA,NA,2053.44
2016,2731.88,NA,9.545534130382228,NA,3896,NA,169275,NA,3112.22,NA,NA,1778.56
2017,3112.22,NA,7.957948985096409,NA,NA,NA,6175,NA,3518.9,NA,NA,3877.51
2018,3518.9,NA,7.584249126674291,NA,5321,NA,26700,NA,2709.98,NA,NA,15771
2019,2709.98,NA,9.218957268408616,NA,NA,NA,NA,NA,2075.18,NA,NA,5245.14
2020,2075.18,NA,NA,NA,NA,NA,59250,NA,2719.57,NA,NA,3391.62
2021,2719.57,NA,7.212515882066083,NA,NA,NA,178725,NA,3259.8,NA,NA,2912.64
2022,3259.8,NA,7.461916477624131,NA,NA,NA,179700,NA,4012.95,NA,NA,3307.29
2023,4012.95,NA,6.33574762216498,NA,NA,NA,156950,NA,3146.05,NA,NA,NA
2024,3146.05,NA,5.83137295011428,NA,NA,NA,113525,NA,2747.63,NA,NA,NA
2025,2747.63,NA,6.075666950675693,NA,NA,NA,NA,NA,NA,NA,NA,NA
