year,SSB,ice_retreat_t,late_summer_SST_t,wind_mixing_t,copepod_euphausiid_t,age0_energy_t,cold_pool_t1,age1_index_t1,adult_pollock_biomass_t1,arrowtooth_biomass_t1,juvenile_predator_overlap_t1,age3_recruitment_t3
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
